member_full,last_name,first_name,party,state,vote_cast,lis_member_id,members_Id,vote_number
Cassidy (R-LA),Cassidy,Bill,R,LA,Yea,S373,0,278
Coats (R-IN),Coats,Dan,R,IN,Yea,S212,0,278
Cochran (R-MS),Cochran,Thad,R,MS,Yea,S136,0,278
Collins (R-ME),Collins,Susan,R,ME,Yea,S252,0,278
Coons (D-DE),Coons,Christopher,D,DE,Nay,S337,0,278
Corker (R-TN),Corker,Bob,R,TN,Yea,S310,0,278
Cornyn (R-TX),Cornyn,John,R,TX,Yea,S287,0,278
Cotton (R-AR),Cotton,Tom,R,AR,Yea,S374,0,278
Crapo (R-ID),Crapo,Mike,R,ID,Yea,S266,0,278
Cruz (R-TX),Cruz,Ted,R,TX,Yea,S355,0,278
Daines (R-MT),Daines,Steve,R,MT,Yea,S375,0,278
Donnelly (D-IN),Donnelly,Joe,D,IN,Nay,S356,0,278
Durbin (D-IL),Durbin,Richard,D,IL,Nay,S253,0,278
Enzi (R-WY),Enzi,Mike,R,WY,Yea,S254,0,278
Ernst (R-IA),Ernst,Joni,R,IA,Yea,S376,0,278
Feinstein (D-CA),Feinstein,Dianne,D,CA,Nay,S221,0,278
Fischer (R-NE),Fischer,Deb,R,NE,Yea,S357,0,278
Flake (R-AZ),Flake,Jeff,R,AZ,Yea,S358,0,278
Franken (D-MN),Franken,Al,D,MN,Nay,S332,0,278
Gardner (R-CO),Gardner,Cory,R,CO,Yea,S377,0,278
Gillibrand (D-NY),Gillibrand,Kirsten,D,NY,Nay,S331,0,278
Graham (R-SC),Graham,Lindsey,R,SC,Not Voting,S293,0,278
Grassley (R-IA),Grassley,Chuck,R,IA,Yea,S153,0,278
Hatch (R-UT),Hatch,Orrin,R,UT,Yea,S118,0,278
Heinrich (D-NM),Heinrich,Martin,D,NM,Nay,S359,0,278
Heitkamp (D-ND),Heitkamp,Heidi,D,ND,Nay,S360,0,278
Heller (R-NV),Heller,Dean,R,NV,Nay,S352,0,278
Hirono (D-HI),Hirono,Mazie,D,HI,Nay,S361,0,278
Hoeven (R-ND),Hoeven,John,R,ND,Yea,S344,0,278
Inhofe (R-OK),Inhofe,Jim,R,OK,Yea,S236,0,278
Isakson (R-GA),Isakson,Johnny,R,GA,Nay,S305,0,278
Johnson (R-WI),Johnson,Ron,R,WI,Yea,S345,0,278
Kaine (D-VA),Kaine,Timothy,D,VA,Nay,S362,0,278
King (I-ME),King,Angus,I,ME,Nay,S363,0,278
Kirk (R-IL),Kirk,Mark,R,IL,Yea,S339,0,278
Klobuchar (D-MN),Klobuchar,Amy,D,MN,Nay,S311,0,278
Lankford (R-OK),Lankford,James,R,OK,Yea,S378,0,278
Leahy (D-VT),Leahy,Patrick,D,VT,Nay,S057,0,278
Lee (R-UT),Lee,Mike,R,UT,Yea,S346,0,278
Manchin (D-WV),Manchin,Joe,D,WV,Yea,S338,0,278
Markey (D-MA),Markey,Edward,D,MA,Nay,S369,0,278
McCain (R-AZ),McCain,John,R,AZ,Yea,S197,0,278
McCaskill (D-MO),McCaskill,Claire,D,MO,Nay,S312,0,278
McConnell (R-KY),McConnell,Mitch,R,KY,Yea,S174,0,278
Menendez (D-NJ),Menendez,Robert,D,NJ,Nay,S306,0,278
